program_class,generation_time_sec,run,seed,evosuite_tests,randoop_tests,evosuite_to_randoop_jaccard,randoop_to_evosuite_jaccard,mean_max_jaccard,evosuite_to_randoop_dice,randoop_to_evosuite_dice,mean_max_dice
PricingEngine,60,8,808,22,755,0.4476074727411625,0.3873124575939145,0.4174599651675385,0.4976715826746289,0.4051055642058502,0.4513885734402395
PricingEngine,60,9,909,23,956,0.5322674441445583,0.13780100583497734,0.3350342249897678,0.5618321343034913,0.1423933036086399,0.3521127189560656
PricingEngine,60,10,10010,23,1147,0.5576185025766687,0.1463587269165046,0.3519886147465866,0.5788022862349397,0.1528684149217642,0.3658353505783519
PricingEngine,120,1,101,23,925,0.4251958754516299,0.47750852136051386,0.4513521984060719,0.47726054662365475,0.4946905230800287,0.48597553485184175
PricingEngine,120,2,202,23,999,0.5716404086743111,0.1379681250896181,0.3548042668819646,0.6032974764562352,0.14171480690933796,0.3725061416827866
PricingEngine,120,3,303,23,1118,0.5854625908334349,0.1428755762275228,0.36416908353047883,0.5964441645964582,0.14710587573092604,0.3717750201636921
PricingEngine,120,4,404,23,2264,0.5064238944121999,0.25605275872252675,0.38123832656736334,0.5461502884964812,0.26867156504330353,0.4074109267698923
PricingEngine,120,5,505,24,2158,0.5627928616550233,0.1482885091673727,0.355540685411198,0.5873387974400738,0.1577138307485572,0.37252631409431547
PricingEngine,120,6,606,24,1457,0.6052358101501246,0.14945574314644525,0.37734577664828495,0.6434923789906656,0.15416119146254254,0.3988267852266041
PricingEngine,120,7,707,25,1579,0.5082587853323147,0.12997156949025218,0.3191151774112835,0.543793994108204,0.13267291491653438,0.3382334545123692
PricingEngine,120,8,808,23,2016,0.5071804083952421,0.3946842625939265,0.45093233549458434,0.5447890633706307,0.4111424502444944,0.4779657568075626
PricingEngine,120,9,909,24,2506,0.5785167897804283,0.12269227121868259,0.3506045304995554,0.5987983689146633,0.12621719694629918,0.36250778293048125
PricingEngine,120,10,10010,25,2895,0.5963015690079585,0.15772492385712855,0.3770132464325435,0.614254811083824,0.16009608680598222,0.3871754489449031
